INDUSTRY,YEAR,SATIS,CONFIRM,IDEAL,OVERALLX,CUSTOMX,WRONGX,OVERALLQ,CUSTOMQ,WRONGQ,PQ,QP,COMP,HANDLE,REPUR,HIGHPTOL,LOWPTOL,AGE,EDUCAT,HISPANIC,RACE_1,RACE_2,RACE_3,RACE_4,RACE_5,INCOME,GENDER,ZIPCODE
3003,2015,8,7,6,8.0,5.0,5.0,6.0,8.0,7.0,6.0,5.0,0.0,,6.0,0.0,,44,4.0,0.0,1.0,,,,,6.0,1.0,97116.0
3003,2015,8,6,7,7.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,0.0,,10.0,26.0,,41,3.0,0.0,1.0,,,,,7.0,1.0,90401.0
3003,2015,7,7,7,8.0,8.0,4.0,7.0,7.0,6.0,6.0,6.0,1.0,9.0,8.0,15.0,,36,5.0,0.0,4.0,,,,,99.0,1.0,2114.0
3003,2015,9,8,8,8.0,9.0,8.0,7.0,8.0,8.0,8.0,8.0,0.0,,9.0,10.0,,33,5.0,0.0,1.0,,,,,7.0,1.0,10011.0
3003,2015,8,7,8,8.0,8.0,3.0,8.0,8.0,2.0,7.0,7.0,0.0,,8.0,5.0,,31,4.0,0.0,4.0,,,,,5.0,1.0,14623.0
3003,2015,10,9,9,8.0,10.0,5.0,10.0,10.0,10.0,7.0,9.0,0.0,,10.0,26.0,,21,3.0,0.0,1.0,,,,,98.0,2.0,6516.0
3003,2015,7,5,2,6.0,7.0,5.0,6.0,6.0,7.0,5.0,6.0,0.0,,98.0,,,50,4.0,0.0,1.0,,,,,7.0,1.0,53017.0
3003,2015,8,7,7,8.0,8.0,10.0,8.0,8.0,10.0,8.0,8.0,0.0,,7.0,10.0,,64,3.0,0.0,1.0,,,,,6.0,1.0,97365.0
3003,2015,6,6,5,7.0,5.0,3.0,7.0,6.0,6.0,7.0,7.0,0.0,,10.0,5.0,,64,5.0,0.0,1.0,,,,,7.0,1.0,77095.0
3003,2015,8,5,7,8.0,8.0,4.0,8.0,8.0,5.0,8.0,8.0,0.0,,10.0,98.0,,33,2.0,0.0,1.0,,,,,4.0,1.0,54235.0
3003,2015,6,5,4,8.0,7.0,7.0,7.0,5.0,5.0,4.0,5.0,1.0,4.0,5.0,,26.0,31,3.0,0.0,1.0,,,,,7.0,1.0,95816.0
3003,2015,7,5,7,9.0,7.0,8.0,7.0,5.0,8.0,8.0,8.0,1.0,8.0,10.0,101.0,,34,4.0,0.0,1.0,,,,,6.0,1.0,12929.0
3003,2015,7,6,7,8.0,7.0,7.0,8.0,8.0,9.0,8.0,8.0,1.0,6.0,10.0,15.0,,47,3.0,0.0,1.0,,,,,7.0,1.0,
